id,product_id,sku,color,size,stock,price_cents,is_active
ecb400be-d213-4008-8250-5a0feb485278,d22ef52f-89ee-4fb6-8de9-c0b108286f2f,NV-10001-RED-XS,Red,XS,8,12000,True
9b2846e0-aaf9-43df-86f9-a2a575082a8b,d22ef52f-89ee-4fb6-8de9-c0b108286f2f,NV-10001-RED-S,Red,S,25,12000,True
909ebeeb-0f04-4a19-abb7-ebf5085e155f,d22ef52f-89ee-4fb6-8de9-c0b108286f2f,NV-10001-RED-M,Red,M,27,12000,True
5b91c2aa-b60d-4236-bfcc-dd2642dfd155,d22ef52f-89ee-4fb6-8de9-c0b108286f2f,NV-10001-RED-L,Red,L,0,12000,True
a8555884-f657-405b-9319-d035d815217a,d22ef52f-89ee-4fb6-8de9-c0b108286f2f,NV-10001-RED-XL,Red,XL,24,12000,True
012592d2-ac40-4d7f-a6f1-8cd8b1124a99,d22ef52f-89ee-4fb6-8de9-c0b108286f2f,NV-10001-RED-XXL,Red,XXL,25,12000,True
f51f90e4-f1b4-4d77-9f86-1d2c6a78f63e,d22ef52f-89ee-4fb6-8de9-c0b108286f2f,NV-10001-SAN-XS,Sand,XS,5,12000,True
7c6281d7-317b-4f1c-9948-5fe9d5ab9587,d22ef52f-89ee-4fb6-8de9-c0b108286f2f,NV-10001-SAN-S,Sand,S,22,12000,True
8c59354e-e15a-46b9-b834-8ba7f752e999,d22ef52f-89ee-4fb6-8de9-c0b108286f2f,NV-10001-SAN-M,Sand,M,13,12000,True
9e4c6b1b-6874-444b-a224-4963fba58e4f,d22ef52f-89ee-4fb6-8de9-c0b108286f2f,NV-10001-SAN-L,Sand,L,10,12000,True
8f576642-3235-46f7-bf37-fd727842fb33,d22ef52f-89ee-4fb6-8de9-c0b108286f2f,NV-10001-SAN-XL,Sand,XL,8,12000,True
3dd1de0c-5404-453d-8801-5cbcc621b05a,d22ef52f-89ee-4fb6-8de9-c0b108286f2f,NV-10001-SAN-XXL,Sand,XXL,4,12000,True
c080735c-63cd-4df3-bc84-2718859b8364,d22ef52f-89ee-4fb6-8de9-c0b108286f2f,NV-10001-BLA-XS,Black,XS,6,12000,True
f31d9f93-6e03-4897-ab4f-4606069e4d63,d22ef52f-89ee-4fb6-8de9-c0b108286f2f,NV-10001-BLA-S,Black,S,24,12000,True
f333d7d9-3cc1-4c6c-bd2d-a2f57b9082f4,d22ef52f-89ee-4fb6-8de9-c0b108286f2f,NV-10001-BLA-M,Black,M,10,12000,True
571180c5-5db0-4797-87d1-5f028bcb2329,d22ef52f-89ee-4fb6-8de9-c0b108286f2f,NV-10001-BLA-L,Black,L,3,12000,True
