id,product_id,author_name,rating,title,body,is_verified,helpful_count,created_at
2ba7cca4-b902-439b-8c70-cb3e35b8ae41,d22ef52f-89ee-4fb6-8de9-c0b108286f2f,Mason P.,5,Exactly what I needed,Really happy with this purchase. The material feels smooth and it’s comfortable for the gym. Shipping was quick too. Great for workouts and it doesn’t feel restrictive.,True,5,2025-06-04T23:22:40.986313+00:00
6b81c4c1-f3a0-44ba-b341-3ebfbbad71f7,d22ef52f-89ee-4fb6-8de9-c0b108286f2f,Jordan P.,5,Comfortable and breathable,Really happy with this purchase. The material feels smooth and it’s comfortable for going out. Shipping was quick too. Great for workouts and it doesn’t feel restrictive.,True,3,2025-02-06T01:06:40.986367+00:00
7ea521ba-7c41-48cb-8069-35d1113d393e,d22ef52f-89ee-4fb6-8de9-c0b108286f2f,Emma W.,5,Comfortable and breathable,Really happy with this purchase. The material feels lightweight and it’s comfortable for work. Shipping was quick too. Great for workouts and it doesn’t feel restrictive.,True,10,2025-07-14T13:18:40.986417+00:00
0625bbb1-a035-42e8-a0e4-df1e428ab94e,d22ef52f-89ee-4fb6-8de9-c0b108286f2f,Nina U.,5,Nice fabric and stitching,Really happy with this purchase. The material feels soft and it’s comfortable for training sessions. Shipping was quick too. Great for workouts and it doesn’t feel restrictive.,True,5,2025-09-29T08:49:40.986466+00:00
09274187-7576-4389-83b5-d0569110296e,d22ef52f-89ee-4fb6-8de9-c0b108286f2f,Jamie B.,5,Worth it,Really happy with this purchase. The material feels breathable and it’s comfortable for going out. Shipping was quick too. Great for workouts and it doesn’t feel restrictive.,True,7,2025-08-13T13:13:40.986511+00:00
6109aec4-b3c9-4e2b-a8b4-c53367e45d9b,d22ef52f-89ee-4fb6-8de9-c0b108286f2f,Aiden K.,5,Great quality for the price,I’ve worn it a few times now and it still looks new. The fabric feels soft and the fit is relaxed. Would buy again. Great for workouts and it doesn’t feel restrictive.,False,3,2024-08-02T05:14:40.986541+00:00
6dfd8e7e-1b15-47f7-9819-429537db42bc,d22ef52f-89ee-4fb6-8de9-c0b108286f2f,Zoe M.,5,Worth it,Really happy with this purchase. The material feels comfortable and it’s comfortable for training sessions. Shipping was quick too. Great for workouts and it doesn’t feel restrictive.,True,7,2024-10-28T01:34:40.986574+00:00
18fafca1-2d53-43c2-8861-960f317e8230,d22ef52f-89ee-4fb6-8de9-c0b108286f2f,Ethan D.,4,Perfect fit and super comfortable,The color is true to the photos and the construction feels premium. I’d recommend it if you want something well put together. Great for workouts and it doesn’t feel restrictive.,True,10,2024-01-21T13:48:40.986612+00:00
5d87cc78-fb3f-48ce-b504-44b5c100cafb,d22ef52f-89ee-4fb6-8de9-c0b108286f2f,Ava Z.,5,Comfortable and breathable,The color is true to the photos and the construction feels premium. I’d recommend it if you want something minimal and clean. Great for workouts and it doesn’t feel restrictive.,True,0,2024-08-24T20:00:40.986640+00:00
0ed88335-5c42-4aec-b0f6-412129bc6850,d22ef52f-89ee-4fb6-8de9-c0b108286f2f,Mason V.,5,My new favorite,"I was a bit skeptical at first, but it exceeded my expectations. Great details, nice stitching, and it’s very breathable. Great for workouts and it doesn’t feel restrictive.",True,5,2023-12-25T22:56:40.986665+00:00
90375468-71c3-44d7-b9f9-6306f9a2cfb3,d22ef52f-89ee-4fb6-8de9-c0b108286f2f,Nina X.,5,Solid everyday piece,The color is true to the photos and the construction feels premium. I’d recommend it if you want something versatile. Great for workouts and it doesn’t feel restrictive.,True,6,2023-11-16T14:54:40.986682+00:00
85192d59-fe70-45c6-83d0-ba858a9c0990,d22ef52f-89ee-4fb6-8de9-c0b108286f2f,Noah Q.,5,Comfortable and breathable,I’ve worn it a few times now and it still looks new. The fabric feels soft and the fit is slightly oversized. Would buy again. Great for workouts and it doesn’t feel restrictive.,False,2,2024-09-28T06:52:40.986696+00:00
f2bfed05-0e97-4af8-abe6-0697ccf8b736,d22ef52f-89ee-4fb6-8de9-c0b108286f2f,Alex B.,5,Nice fabric and stitching,Fits as expected and feels great on the skin. Works well both for work and everyday wear. The seams are clean and solid. Great for workouts and it doesn’t feel restrictive.,False,6,2024-10-26T03:45:40.986713+00:00
6db65bbb-d9cf-4982-a67f-d641c1aeb6ed,d22ef52f-89ee-4fb6-8de9-c0b108286f2f,Chris W.,4,Great quality for the price,"I was a bit skeptical at first, but it exceeded my expectations. Great details, nice stitching, and it’s nice and flexible. Great for workouts and it doesn’t feel restrictive.",False,4,2024-01-08T00:42:40.986727+00:00
07dd70b5-c0d9-48f3-a1c2-e262f3e3b3db,d22ef52f-89ee-4fb6-8de9-c0b108286f2f,Jamie V.,5,My new favorite,Really happy with this purchase. The material feels lightweight and it’s comfortable for going out. Shipping was quick too. Great for workouts and it doesn’t feel restrictive.,False,0,2025-07-06T10:34:40.986747+00:00
